asdf_id,v4composites_calibrated_201709.1992.mean,v4composites_calibrated_201709.1993.mean,v4composites_calibrated_201709.1994.mean,v4composites_calibrated_201709.1995.mean,v4composites_calibrated_201709.1996.mean,v4composites_calibrated_201709.1997.mean,v4composites_calibrated_201709.1998.mean,v4composites_calibrated_201709.1999.mean,v4composites_calibrated_201709.2000.mean,v4composites_calibrated_201709.2001.mean,v4composites_calibrated_201709.2002.mean,v4composites_calibrated_201709.2003.mean,v4composites_calibrated_201709.2004.mean,v4composites_calibrated_201709.2005.mean,v4composites_calibrated_201709.2006.mean,v4composites_calibrated_201709.2007.mean,v4composites_calibrated_201709.2008.mean,v4composites_calibrated_201709.2009.mean,v4composites_calibrated_201709.2010.mean,v4composites_calibrated_201709.2011.mean,v4composites_calibrated_201709.2012.mean,v4composites_calibrated_201709.2013.mean,Level,gqid,shapeGroup,shapeID,shapeName,shapeType
0,0.0833352228917,0.141247242287,0.387024784571,0.43222884374,0.471790951399,0.519150202705,0.235881280275,0.151130278827,0.386003159541,0.344652210768,0.324877929702,0.251424249026,0.235887015485,0.276843932885,0.313570123715,0.388407739458,0.528197357521,0.0,1.10382262348,1.18532078019,0.788107879433,1.16807780577,ADM2,0,THA,THA-ADM2-46861878B77456438,Akat Amnuai,ADM2
1,7.14897383911,9.2133492607,8.73104461615,10.9926879606,12.5732366513,9.95782486285,10.8197764231,10.3834158637,9.8842015079,9.5120358189,10.3511652177,10.1065336528,11.3290136686,11.1182713512,10.537235182,10.8965346037,11.3945105401,13.585788848,12.8899960348,13.8675244023,13.6958484745,15.3684324485,ADM2,1,THA,THA-ADM2-46861878B86341097,Amphawa,ADM2
2,0.209420128227,1.03684644766,0.887322152969,2.14022187187,2.81788006864,2.29474311303,3.92295602356,3.45425258669,3.48895795048,3.15205594698,3.58475079101,3.89115723621,4.48142458741,3.11015237998,3.02342371318,3.07806675969,3.25338183943,3.08708309176,4.06318907973,3.97349706503,3.72721152487,3.90316742137,ADM2,2,THA,THA-ADM2-46861878B30830720,Ao Luek,ADM2
3,0.92729243106,1.37083140646,1.09249905916,1.59208366062,2.10184782263,1.69639557804,2.2939254265,2.51638485771,3.71595530414,4.36715308138,3.39774817583,3.7700697304,4.26870542496,4.48861130502,4.51767429132,4.45140915647,3.2166145848,2.46576168514,6.81858468139,9.70900294783,5.00274607726,5.70057690712,ADM2,3,THA,THA-ADM2-46861878B38226107,Aranyaprathet,ADM2
4,0.136154714331,0.157551620873,0.23341586537,0.29760353738,0.20035097363,0.196460918814,0.210069041388,0.229516742864,0.188676633375,0.224564895345,0.315986713854,0.428807364213,0.3305942435,0.354085439678,0.403388062218,0.374714357313,0.348173681675,0.0,1.89849579301,1.59927374826,0.746089274468,1.75499629608,ADM2,4,THA,THA-ADM2-46861878B50974106,At Samat,ADM2
5,0.80498946997,0.898638910741,1.5459897583,4.33534059927,4.39806177239,4.18763683471,3.82965291436,4.00074913097,4.71001722828,5.86083047734,6.36740707964,6.5140383711,6.51439550193,7.08196312339,6.62794998686,6.22996593173,6.29840564846,6.64933048888,7.71108147647,6.68175276339,7.07813537236,6.82775125622,ADM2,5,THA,THA-ADM2-46861878B31604779,Bacho,ADM2
6,0.870314189556,0.964288947308,1.78588349353,2.88666014822,3.04682305221,2.29848802368,2.67019886938,2.50585610183,2.32132560367,2.39665052814,2.33848440434,2.55002190414,3.52078626985,3.41819640049,3.09530786989,3.33134348903,0.258698401758,0.0,3.94824869557,4.26572226661,3.72869156138,4.70031505615,ADM2,6,THA,THA-ADM2-46861878B64949414,Bamnet Narong,ADM2
7,6.52727167378,11.8623229241,10.7277663582,13.2004795074,14.9400551631,14.7355861728,14.3176282734,15.4739635968,13.272819065,13.0428445418,13.197944198,14.2012900799,16.7908080319,18.2949867269,16.6614904766,16.9184184413,18.3106415097,10.5552672629,15.146915643,17.6386679647,16.1288550941,18.4245522442,ADM2,7,THA,THA-ADM2-46861878B1348916,Ban Bueng,ADM2
8,17.9799442639,23.5326649431,23.2373667604,28.7922550737,31.4738911978,31.7358021874,28.7191756942,26.9566029282,23.8214393136,22.7236714952,22.3549990838,26.4467618421,28.9074784705,32.4502173655,28.4085122234,28.110192865,30.917119056,33.0883755999,24.934748731,29.0050136855,28.2584471488,31.1440651056,ADM2,8,THA,THA-ADM2-46861878B2990351,Ban Chang,ADM2
9,0.0,0.0,0.0848723418334,0.535483165737,0.479556033395,0.399769261947,1.07250375755,1.09380902682,0.138655242151,0.341855807599,0.44459394658,0.0,0.229493751385,1.26738564349,0.0,0.0,0.0,0.0,3.39967492057,4.60186986897,3.34060791973,3.96114475986,ADM2,9,THA,THA-ADM2-46861878B30003086,Ban Dan,ADM2
10,0.0959874389056,0.173722508272,0.122234807089,0.335124247654,0.34815738843,0.318413501502,0.386582355159,0.312863080499,0.409369518214,0.57704879911,0.422334225814,0.465535222958,0.434904101177,0.320167828926,0.311479338882,0.536319117567,0.435153313167,0.0,1.31710890537,1.12587376425,1.41999328869,1.25402208079,ADM2,10,THA,THA-ADM2-46861878B10317958,Ban Dan Lan Hoi,ADM2
11,0.415601512111,0.530074466125,0.681532781702,0.695614536768,0.830338397613,1.55742657852,1.24306468621,0.874265249014,2.34295478072,1.41673894007,1.34012937537,1.01606392416,0.920918361196,0.898106566572,0.922048358563,0.896552548529,0.828176087314,0.888460395753,1.69052981117,1.68509263131,1.35910987386,2.0364103273,ADM2,11,THA,THA-ADM2-46861878B80174851,Ban Dung,ADM2
