asdf_id,v4composites_calibrated_201709.1992.mean,v4composites_calibrated_201709.1993.mean,v4composites_calibrated_201709.1994.mean,v4composites_calibrated_201709.1995.mean,v4composites_calibrated_201709.1996.mean,v4composites_calibrated_201709.1997.mean,v4composites_calibrated_201709.1998.mean,v4composites_calibrated_201709.1999.mean,v4composites_calibrated_201709.2000.mean,v4composites_calibrated_201709.2001.mean,v4composites_calibrated_201709.2002.mean,v4composites_calibrated_201709.2003.mean,v4composites_calibrated_201709.2004.mean,v4composites_calibrated_201709.2005.mean,v4composites_calibrated_201709.2006.mean,v4composites_calibrated_201709.2007.mean,v4composites_calibrated_201709.2008.mean,v4composites_calibrated_201709.2009.mean,v4composites_calibrated_201709.2010.mean,v4composites_calibrated_201709.2011.mean,v4composites_calibrated_201709.2012.mean,v4composites_calibrated_201709.2013.mean,Level,gqid,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,0.571267392794,0.596886775056,0.815137937869,0.932637017867,1.20812735211,1.24474859708,1.28855234173,1.3121433626,1.13783040137,1.17094185419,1.49251081909,1.58777003308,1.62588176752,1.66496741977,1.7915146944,1.71627299021,1.81266245612,0.451659175826,3.50895455471,3.4935745145,2.05589877525,3.45270061749,ADM1,0,THA,THA-ADM1-36821470B65829948,TH-45,Roi Et Province,ADM1
1,0.547429487657,0.983634966895,0.881323588901,1.24705173938,1.43704858026,1.86399740524,1.69269692297,1.16883336745,1.34949674681,1.3276688572,1.36165781212,1.13013654516,1.5406573455,1.19834627092,1.26759487018,1.26990483793,1.41776015155,0.424146197398,3.62996021294,3.27562270719,2.36557646632,2.49821202308,ADM1,1,THA,THA-ADM1-36821470B71159181,TH-56,Phayao Province,ADM1
2,1.12697907457,1.70885374126,1.55479291504,2.06021455358,2.06605287598,1.80113807974,2.34150086546,1.88882079332,2.10995871022,2.16901209673,2.10285273379,2.04948968173,2.65669262738,3.0141813725,2.47760950023,2.56429183979,1.30806935091,2.03448623141,3.54014177617,4.41387536134,3.16573696928,4.07664029115,ADM1,2,THA,THA-ADM1-36821470B71500930,TH-60,Nakhon Sawan Province,ADM1
3,0.293603101129,0.337965467162,0.383760844246,0.545178663766,0.816451470446,0.727336174618,1.4015131797,0.85711290652,1.22528447579,1.08058753966,1.11935570426,0.848894954208,0.80856281781,0.960368294958,1.16337623706,1.22534706688,1.13039321549,0.804911831669,3.65261349957,4.89855570392,3.52773835911,4.86812310674,ADM1,3,THA,THA-ADM1-36821470B80905782,TH-39,Nong Bua Lam Phu Province,ADM1
4,3.05465334557,5.30627727713,5.63932448204,7.17139329459,8.21571712678,7.72458834163,8.18623223041,7.52324031051,7.36137690493,7.46727770157,6.61036389294,7.08911032257,6.97938592291,6.97442019253,6.76449563676,6.59112186208,5.99172237826,3.17338196063,6.44352810219,8.1287742709,7.02951946695,7.98721228802,ADM1,4,THA,THA-ADM1-36821470B68807469,TH-24,Chachoengsao Province,ADM1
5,0.387221831678,0.39835061832,0.506501791376,0.766739280698,0.805627838138,0.779983504505,0.881895747042,0.809167768939,0.85746498385,0.858267102804,0.902208786716,0.981177295766,1.024538223,1.06718405838,0.659660394206,0.646424690835,0.570226599465,0.34335602502,2.56664145171,2.31881861433,1.76837297573,2.22262956416,ADM1,5,THA,THA-ADM1-36821470B76013176,TH-32,Surin Province,ADM1
6,1.19647586391,1.71947083351,1.90020096476,2.50712418077,2.81258151192,2.73026139341,2.60473652975,2.51484048471,2.37617600008,2.65387743492,2.55008125366,2.72418504634,3.03873478597,2.88763913933,2.62857958809,2.62361255408,1.57811606785,1.60526953721,3.71314396483,4.41508904027,3.61211235768,4.36580668587,ADM1,6,THA,THA-ADM1-36821470B90360286,TH-30,Nakhon Ratchasima Province,ADM1
7,0.47690620847,0.727256693676,0.335113740428,1.06599968424,1.1608430807,1.3788246626,1.61834090259,1.42337146598,1.32873264903,1.63116657863,1.65943011904,2.02984883662,2.27303549241,2.0463090618,2.26481085779,2.28937462906,1.75823206606,0.665773046517,3.54946558531,3.39242441801,3.6568787562,3.56269981538,ADM1,7,THA,THA-ADM1-36821470B88830326,TH-64,Sukhothai Province,ADM1
8,2.02651894784,2.72040318189,2.6743706921,3.2627691387,3.50162983129,3.33499898756,3.73503205763,3.07053239114,3.14444022545,3.29790344693,3.21093050915,3.59793273786,3.53974920279,3.91034523463,3.45084837333,3.64156429941,4.12834043234,4.29551006299,4.8614484489,5.20557310636,5.18017257502,6.00394686658,ADM1,8,THA,THA-ADM1-36821470B43092989,TH-76,Phetchaburi Province,ADM1
9,0.396855826908,0.480260107094,0.598307577739,0.804801361596,0.860683562271,0.772067773153,0.85027972534,0.885276737125,0.974259912669,1.14319857748,1.1287821306,1.02950621514,1.39685348694,1.37356495895,1.33945328959,1.24180357611,0.438570024595,0.424349298102,2.69132823709,2.76918817327,2.20394819685,3.26864849574,ADM1,9,THA,THA-ADM1-36821470B31347890,TH-36,Chaiyaphum Province,ADM1
10,0.372242436301,0.612398479781,0.579018096496,0.751622451539,0.886798348132,0.885314036993,0.997483804557,0.931967612449,1.20209392312,1.26226049073,1.12976930189,1.33717942582,1.44021981453,1.53029769217,1.48674087361,1.56834108156,0.898214316584,0.789067733831,2.36294035004,2.71519909612,2.06642153313,2.53249953871,ADM1,10,THA,THA-ADM1-36821470B16005684,TH-67,Phetchabun Province,ADM1
